u,v,key,osmid,highway,maxspeed,name,oneway,reversed,length,geometry,lanes,ref,junction,width,bridge,access,tunnel,service,est_width
17585264,243078541,0,22663248,secondary,20 mph,Queen's Road,True,False,48.48242830544808,"LINESTRING (-2.6090601 51.4576576, -2.6093096 51.4577897, -2.6096241 51.4579139)",2,B3129,,,,,,,
17585264,243078542,0,36996535,primary,20 mph,,True,False,28.44644365049696,"LINESTRING (-2.6090601 51.4576576, -2.609153 51.4577693, -2.6091598 51.4578377, -2.6091228 51.4578947)",1,A4018,,,,,,,
17585265,2892455910,0,3552330,primary,20 mph,Whiteladies Road,False,True,4.513244543571421,"LINESTRING (-2.6089 51.4583249, -2.6089043 51.4582844)",2,A4018,,,,,,,
17585265,5519467286,0,3552330,primary,20 mph,Whiteladies Road,False,False,23.283510900814996,"LINESTRING (-2.6089 51.4583249, -2.6088798 51.4584882, -2.6088728 51.4585336)",2,A4018,,,,,,,
17585265,5519467286,1,575147504,service,,,False,True,52.21667070574778,"LINESTRING (-2.6089 51.4583249, -2.6087668 51.4583198, -2.6087252 51.4583218, -2.6086749 51.458334, -2.6086434 51.4583528, -2.6086327 51.4583732, -2.6086132 51.45842, -2.6086132 51.4584576, -2.6086354 51.4584894, -2.6086709 51.4585073, -2.6087467 51.4585232, -2.6088728 51.4585336)",,,,,,,,,
17585267,4484476616,0,574877223,primary,20 mph,Whiteladies Road,False,False,9.754204727197578,"LINESTRING (-2.6086217 51.460386, -2.6086117 51.4604735)",2,A4018,,,,,,,
17585267,1970090305,0,574877223,primary,20 mph,Whiteladies Road,False,True,33.81059843658638,"LINESTRING (-2.6086217 51.460386, -2.6086679 51.4600833)",2,A4018,,,,,,,
17585267,2334411827,0,224640938,service,,,False,False,41.67714564402294,"LINESTRING (-2.6086217 51.460386, -2.6088322 51.4603047, -2.6088476 51.4601831, -2.6087629 51.4600999)",,,,,,,,,
17585269,1035769622,0,574877223,primary,20 mph,Whiteladies Road,False,False,12.870280267558156,"LINESTRING (-2.6086003 51.4617614, -2.6086359 51.461875)",2,A4018,,,,,,,
17585269,26165113,0,574877223,primary,20 mph,Whiteladies Road,False,True,47.22710700924284,"LINESTRING (-2.6086003 51.4617614, -2.6085291 51.461339)",2,A4018,,,,,,,
17585269,2472524823,0,4315791,residential,20 mph,West Park,True,False,53.13069321435023,"LINESTRING (-2.6086003 51.4617614, -2.6081926 51.4619109, -2.6079394 51.4620038)",,,,,,,,,
17585270,26170085,0,3552331,primary,20 mph,Whiteladies Road,False,False,56.073525731493106,"LINESTRING (-2.6088535 51.4624759, -2.6090421 51.4629663)",2,A4018,,,,,,,
