u,v,key,osmid,highway,lanes,maxspeed,name,oneway,ref,reversed,length,geometry,access,service,width,bridge,junction,tunnel
26070224,26070229,0,4308341,residential,,20 mph,Lower Clifton Hill,False,,True,73.15192833355908,"LINESTRING (-2.6113568 51.4541492, -2.6111609 51.4542411, -2.6110453 51.4543064, -2.6106126 51.4546124)",,,,,,
26070229,367036281,0,4308341,residential,,20 mph,Lower Clifton Hill,False,,True,6.951203409649908,"LINESTRING (-2.6106126 51.4546124, -2.6105497 51.4546611)",,,,,,
26070229,26070224,0,4308341,residential,,20 mph,Lower Clifton Hill,False,,False,73.15192833355908,"LINESTRING (-2.6106126 51.4546124, -2.6110453 51.4543064, -2.6111609 51.4542411, -2.6113568 51.4541492)",,,,,,
26070229,830599319,0,4309546,residential,,20 mph,Meridian Vale,False,,True,29.919298039952043,"LINESTRING (-2.6106126 51.4546124, -2.6106651 51.4546362, -2.6106905 51.4546546, -2.6107117 51.4547024, -2.6107392 51.4548562)",permissive,,,,,
26070232,367036281,0,4308341,residential,,20 mph,Lower Clifton Hill,False,,False,67.13091461033018,"LINESTRING (-2.6098087 51.4550054, -2.6098771 51.4550112, -2.6099244 51.4550115, -2.6099715 51.4550015, -2.6100427 51.4549833, -2.6101396 51.4549379, -2.6105497 51.4546611)",,,,,,
26070232,830599329,0,37002027,secondary,,20 mph,Berkeley Place,True,B4466,False,25.17314205223816,"LINESTRING (-2.6098087 51.4550054, -2.6097373 51.4551158, -2.6096821 51.4552175)",,,,,,
26070233,26159334,0,4308342,service,,20 mph,Hill Street,False,,False,113.34916269886342,"LINESTRING (-2.6030418 51.4541676, -2.6020171 51.453373)",,,,,,
26070233,26070236,0,4308342,service,,20 mph,Hill Street,False,,True,103.7521130763532,"LINESTRING (-2.6030418 51.4541676, -2.6039772 51.4548962)",,,,,,
26070233,17585146,0,4308343,unclassified,,20 mph,Great George Street,False,,True,37.47768023131616,"LINESTRING (-2.6030418 51.4541676, -2.6026238 51.4543815)",,,,,,
26070233,4765573944,0,4308343,unclassified,,20 mph,Great George Street,False,,False,68.8656410923958,"LINESTRING (-2.6030418 51.4541676, -2.6034261 51.4539709, -2.6038098 51.4537745)",,,,,,
26070234,4765573947,0,4308343,unclassified,,20 mph,Great George Street,False,,True,37.88837677072072,"LINESTRING (-2.6044835 51.4534296, -2.604061 51.4536459)",,,,,,
26070234,982918639,0,4308343,unclassified,,20 mph,Great George Street,False,,False,105.97154307861766,"LINESTRING (-2.6044835 51.4534296, -2.6051954 51.4530652, -2.6056653 51.4528247)",,,,,,
26070234,957704261,0,"[4308345, 4308347]","['unclassified', 'residential']",,20 mph,"['Charlotte Street South', 'Charlotte Street']",True,,False,199.62555894990697,"LINESTRING (-2.6044835 51.4534296, -2.6049571 51.4537624, -2.6053982 51.454099, -2.6054136 51.4541226, -2.605412 51.4541422, -2.6053961 51.4541548, -2.6048682 51.4544306, -2.6047018 51.4545188, -2.6044323 51.4546654, -2.6043484 51.4547064)",,,,,,
26070234,26070238,0,7984543,residential,,,Bigwood Lane,False,,False,55.47003199897666,"LINESTRING (-2.6044835 51.4534296, -2.6041407 51.4531876, -2.6039532 51.4530559)",,,,,,
26070236,26070233,0,4308342,service,,20 mph,Hill Street,False,,False,103.7521130763532,"LINESTRING (-2.6039772 51.4548962, -2.6030418 51.4541676)",,,,,,
26070236,957754269,0,4308347,residential,,20 mph,Charlotte Street,True,,False,37.137183910704564,"LINESTRING (-2.6039772 51.4548962, -2.603912 51.4549311, -2.6035778 51.4551189)",,,,,,
26070238,26070240,0,7984544,residential,,,Bigwood Lane,False,,False,30.11924366253964,"LINESTRING (-2.6039532 51.4530559, -2.6036281 51.4532357)",,,,,,
26070238,26070239,0,7984544,residential,,,Bigwood Lane,False,,True,18.419683907970903,"LINESTRING (-2.6039532 51.4530559, -2.6041521 51.452946)",,,,,,
26070238,26070234,0,7984543,residential,,,Bigwood Lane,False,,True,55.47003199897666,"LINESTRING (-2.6039532 51.4530559, -2.6041407 51.4531876, -2.6044835 51.4534296)",,,,,,
26070239,26070238,0,7984544,residential,,,Bigwood Lane,False,,False,18.419683907970903,"LINESTRING (-2.6041521 51.452946, -2.6039532 51.4530559)",,,,,,
26070240,26070238,0,7984544,residential,,,Bigwood Lane,False,,True,30.11924366253964,"LINESTRING (-2.6036281 51.4532357, -2.6039532 51.4530559)",,,,,,
26103633,5227109824,0,4309546,residential,,20 mph,Meridian Vale,False,,False,55.79663496304331,"LINESTRING (-2.610435 51.4556018, -2.6105977 51.455385, -2.610741 51.4551382)",permissive,,,,,
26104404,1968626134,0,8382698,residential,2,20 mph,College Street,False,,False,58.192687513338,"LINESTRING (-2.6025246 51.4523243, -2.6024818 51.4524652, -2.6023948 51.4526582, -2.6023461 51.4527785, -2.6023536 51.4528337)",,,,,,
26104404,26104406,0,8382698,residential,2,20 mph,College Street,False,,True,70.32435188877636,"LINESTRING (-2.6025246 51.4523243, -2.6025266 51.4522164, -2.6025146 51.4521648, -2.6025054 51.452099, -2.6024682 51.4519136, -2.6023769 51.4517016)",,,,,,
26104404,3584572356,0,352696293,service,,,,False,,False,8.635626033234484,"LINESTRING (-2.6025246 51.4523243, -2.6024549 51.4523118, -2.6024048 51.4523029)",,,,,,
26104406,26104404,0,8382698,residential,2,20 mph,College Street,False,,False,70.32435188877636,"LINESTRING (-2.6023769 51.4517016, -2.6024682 51.4519136, -2.6025054 51.452099, -2.6025146 51.4521648, -2.6025266 51.4522164, -2.6025246 51.4523243)",,,,,,
26104406,974590436,0,83696506,unclassified,,,Deanery Road,False,,False,34.282128918227684,"LINESTRING (-2.6023769 51.4517016, -2.6020202 51.4517543, -2.6018955 51.4517727)",yes,alley,4.5,,,
26104492,17585143,0,4311385,unclassified,,20 mph,Park Street Avenue,True,,False,62.0687483961263,"LINESTRING (-2.602954 51.4555207, -2.6030716 51.4554223, -2.6032591 51.4553265, -2.6036209 51.4551531)",,,,,,
26104492,460840143,0,"[422095172, 22888053]",secondary,2,20 mph,Park Row,False,B4051,False,67.07247334777915,"LINESTRING (-2.602954 51.4555207, -2.6036112 51.4556785, -2.6038574 51.4557374)",,,,,,
26104492,1130578185,0,22888053,secondary,2,20 mph,Park Row,False,B4051,True,48.35643460004201,"LINESTRING (-2.602954 51.4555207, -2.6025808 51.4554397, -2.6024227 51.4554113, -2.6022885 51.4553908)",,,,,,
26104496,1968626144,0,84608997,unclassified,2,20 mph,Saint Georges Road,False,,False,48.32328238782783,"LINESTRING (-2.6030061 51.4526228, -2.6028497 51.4526824, -2.6026534 51.4527638, -2.6025297 51.452816, -2.6024166 51.4528545)",,,,,,
26104496,6071146268,0,84608997,unclassified,2,20 mph,Saint Georges Road,False,,True,83.18005515539522,"LINESTRING (-2.6030061 51.4526228, -2.603331 51.4524788, -2.6034177 51.4524307, -2.6034938 51.4523669, -2.6036172 51.4522355, -2.6037654 51.4520797, -2.6037769 51.4520672)",,,,,,
26104496,1968626115,0,143648518,residential,2,20 mph,Brandon Steep,False,,True,66.08279737648563,"LINESTRING (-2.6030061 51.4526228, -2.6030998 51.4526539, -2.6032332 51.4526821, -2.6033534 51.4526994, -2.6034597 51.452702, -2.6035262 51.4526938, -2.6036768 51.4526675, -2.6039082 51.4526042)",,,,,,
26159334,26070233,0,4308342,service,,20 mph,Hill Street,False,,True,113.34916269886342,"LINESTRING (-2.6020171 51.453373, -2.6030418 51.4541676)",,,,,,
