osmid,latitude,longitude
8265614352,51.4578956,-2.6132103
8270165433,51.4576237,-2.6136397
9568203077,51.4595934,-2.6057694
9568203082,51.4594939,-2.6041962
9944114376,51.4566714,-2.6125944
9944114380,51.4565764,-2.6121972
10283016087,51.4606233,-2.6088124
10283016088,51.4606117,-2.6085943
10738320242,51.457341,-2.603714
10738328735,51.4573603,-2.6039828
10739447463,51.4557666,-2.6039217
10739497719,51.4557922,-2.6023624
10751398349,51.4582491,-2.6037452
10751814723,51.457273,-2.6026989
10751814726,51.4572748,-2.6028597
10751814837,51.457745,-2.6032881
10751814840,51.4577989,-2.6036194
10751814844,51.4579763,-2.6035992
10751814850,51.4580239,-2.6038498
10753537978,51.4561572,-2.6008903
10794781022,51.4590989,-2.6017386
10794781024,51.459119,-2.6020886
10794781025,51.4590432,-2.6020269
10794781027,51.4590069,-2.6024329
10794808742,51.4590198,-2.6019891
10935221426,51.4599593,-2.6014293
10935221427,51.4597737,-2.6012743
10935221491,51.4597112,-2.602202
10935221492,51.4596197,-2.6021258
10935221494,51.4595327,-2.6023721
10935221495,51.4596311,-2.6024541
10935231422,51.4590239,-2.6030647
10935231429,51.4594522,-2.6030304
10935231430,51.4593484,-2.6029439
10935231431,51.459467,-2.6025773
10935231432,51.4592786,-2.6031596
10935231459,51.4593565,-2.6033435
11865591906,51.4521341,-2.6092543
11865591910,51.4522315,-2.6087841
12106877508,51.4594648,-2.6097171
12106877513,51.4598497,-2.6077402
12106932177,51.4553691,-2.6119767
12270957945,51.4557029,-2.6026095
