node_id,lat,lon,tags
10838365655,52.0680523,-1.3684039,{}
457667172,52.067953,-1.3683678,{}
8714834664,52.0678632,-1.3682847,{}
8714834663,52.0678221,-1.3682297,{}
8714834661,52.0677973,-1.3681991,{}
8714834662,52.0677709,-1.3681654,{}
8714834660,52.0677426,-1.3681232,{'traffic_calming': 'chicane'}
2121603179,52.0675513,-1.368127,{}
725304171,52.0676456,-1.3679991,{}
457667168,52.0675867,-1.3678996,{}
8714834658,52.0670963,-1.3656053,{}
457667159,52.0670426,-1.3655504,"{'direction': 'backward', 'source': 'Bing', 'traffic_calming': 'choker'}"
2157487112,52.0670158,-1.3654836,{}
5273173482,52.0669793,-1.3654078,{}
5673509180,52.0667973,-1.3653943,{}
457667157,52.0668878,-1.3653069,{}
2157487107,52.0668325,-1.3652465,{}
5599678459,52.0667455,-1.3652028,{}
457667155,52.0666351,-1.3651656,{}
2157487102,52.0665049,-1.3651584,{}
5673509191,52.0664473,-1.3651688,{}
458378288,52.0656609,-1.3652853,{}
457667148,52.0655982,-1.3652795,{}
8714834656,52.0654867,-1.3652674,{}
457667146,52.0653035,-1.3651926,{}
457667142,52.0651002,-1.3650623,{}
2597208820,52.0646713,-1.3647093,"{'direction': 'backward', 'surface': 'concrete', 'traffic_calming': 'choker'}"
5673476241,52.0645323,-1.364629,{}
457667130,52.0635707,-1.3641038,{}
304535274,52.0629859,-1.3642788,{}
2081086343,52.0610823,-1.3649335,{}
5603513586,52.0610678,-1.3649309,{}
2081086329,52.0609206,-1.3649128,{}
5597999362,52.0600555,-1.3645704,{}
5673486769,52.0599203,-1.3645547,{}
5673486764,52.0598947,-1.364508,{}
28235832,52.059896,-1.364468,{}
2081086255,52.059392,-1.3641204,"{'direction': 'both', 'surface': 'concrete', 'traffic_calming': 'bump'}"
5597999392,52.0589798,-1.3638113,{}
2081086241,52.0567016,-1.3586618,{}
28235716,52.0575177,-1.354746,{}
1628201690,52.0573971,-1.3533062,{}
25289367,52.056849,-1.3525428,{}
3260623,52.056833,-1.3524728,{}
25289366,52.0568147,-1.3524237,{}
25289350,52.0567916,-1.3523802,{}
25289365,52.0567644,-1.3523435,{}
3260601,52.0567339,-1.3523145,{}
25289351,52.0567026,-1.352295,{}
25289364,52.0566697,-1.3522837,{}
3260613,52.0566362,-1.3522808,{}
25289352,52.0566028,-1.3522866,{}
3260598,52.0565704,-1.3523008,{}
25289363,52.0565397,-1.3523231,{}
9120945811,52.056475,-1.3521265,{}
8532106462,52.0564466,-1.352082,"{'crossing': 'unmarked', 'crossing:markings': 'no', 'highway': 'crossing'}"
96154116,52.0561989,-1.3516647,{}
746900547,52.0559735,-1.3513098,{}
1838897295,52.055997,-1.3512693,{}
96154117,52.0559408,-1.3512582,{}
8701198810,52.0557622,-1.3510599,{}
8532106460,52.0558046,-1.3510259,"{'crossing': 'unmarked', 'crossing:markings': 'no', 'highway': 'crossing'}"
1584984108,52.0555596,-1.3507222,{}
96154119,52.0555662,-1.3506194,{}
414912344,52.0554541,-1.3504217,{}
1838897238,52.0555369,-1.3503033,{}
9422036197,52.0554194,-1.3500416,{}
96154120,52.0549419,-1.3494696,{}
8532106458,52.0549235,-1.3494311,"{'crossing': 'unmarked', 'crossing:markings': 'no', 'highway': 'crossing'}"
7580366997,52.0547042,-1.3489736,{}
7580371915,52.0542528,-1.3480316,{}
414912339,52.0542058,-1.3479335,{}
414912338,52.0541474,-1.3479114,{}
9420266835,52.0538706,-1.3471827,{}
96154121,52.0537894,-1.3470008,{}
10020236180,52.0536355,-1.3466574,{}
